State,2010
The United States,"61,364"
Alabama,"50,975"
Alaska,"72,039"
Arizona,"58,400"
Arkansas,"48,053"
California,"67,600"
Colorado,"75,009"
Connecticut,"82,189"
Delaware,"68,759"
District of Columbia,"70,893"
Florida,"54,876"
Georgia,"54,940"
Hawaii,"74,145"
Idaho,"58,592"
Illinois,"63,173"
Indiana,"57,458"
Iowa,"61,041"
Kansas,"57,352"
Kentucky,"51,188"
Louisiana,"48,941"
Maine,"59,689"
Maryland,"79,951"
Massachusetts,"75,882"
Michigan,"57,628"
Minnesota,"65,156"
Mississippi,"47,521"
Missouri,"57,057"
Montana,"51,407"
Nebraska,"65,384"
Nevada,"63,760"
New Hampshire,"82,979"
New Jersey,"78,415"
New Mexico,"56,206"
New York,"61,993"
North Carolina,"54,582"
North Dakota,"63,519"
Ohio,"57,143"
Oklahoma,"53,677"
Oregon,"63,016"
Pennsylvania,"60,166"
Rhode Island,"64,287"
South Carolina,"51,927"
South Dakota,"56,478"
Tennessee,"48,058"
Texas,"58,861"
Utah,"70,611"
Vermont,"69,648"
Virginia,"75,176"
Washington,"69,941"
West Virginia,"53,271"
Wisconsin,"62,703"
Wyoming,"65,007"
