State,2000
The United States,"66,248"
Alabama,"55,888"
Alaska,"83,377"
Arizona,"62,766"
Arkansas,"46,853"
California,"73,862"
Colorado,"76,108"
Connecticut,"79,156"
Delaware,"79,461"
District of Columbia,"65,036"
Florida,"61,303"
Georgia,"66,107"
Hawaii,"81,324"
Idaho,"59,339"
Illinois,"72,675"
Indiana,"64,473"
Iowa,"64,671"
Kansas,"64,779"
Kentucky,"57,215"
Louisiana,"48,464"
Maine,"58,795"
Maryland,"86,040"
Massachusetts,"73,762"
Michigan,"71,804"
Minnesota,"85,592"
Mississippi,"54,113"
Missouri,"71,149"
Montana,"51,712"
Nebraska,"65,869"
Nevada,"72,192"
New Hampshire,"80,346"
New Jersey,"79,524"
New Mexico,"55,366"
New York,"64,282"
North Carolina,"60,453"
North Dakota,"56,791"
Ohio,"67,781"
Oklahoma,"51,168"
Oregon,"67,051"
Pennsylvania,"66,541"
Rhode Island,"66,574"
South Carolina,"59,274"
South Dakota,"57,547"
Tennessee,"53,793"
Texas,"60,913"
Utah,"75,020"
Vermont,"62,467"
Virginia,"74,409"
Washington,"67,092"
West Virginia,"46,402"
Wisconsin,"71,135"
Wyoming,"62,523"
